Date,Open,High,Low,Close,Volume,Adj Close
2007-08-17,89.68,93.80,88.50,92.30,3543100,36.597
2007-08-16,90.21,91.67,89.15,89.53,2042300,35.499
2007-08-15,93.39,93.50,91.34,91.74,1419000,36.375
2007-08-14,93.86,95.27,92.70,93.84,782200,37.208
2007-08-13,92.99,94.59,92.50,94.34,1106900,37.406
2007-08-10,92.75,93.46,91.40,92.00,1821800,36.478
2007-08-09,95.51,95.79,93.06,93.55,1645200,37.093
2007-08-08,95.73,96.16,93.99,95.37,1618500,37.814
2007-08-07,95.41,95.67,93.23,94.98,946400,37.66
2007-08-06,91.03,96.02,90.90,95.20,1576900,37.747
2007-08-03,92.42,93.04,91.26,91.66,796500,36.343
2007-08-02,92.93,93.19,91.82,92.75,1365900,36.776
2007-08-01,91.01,93.76,90.40,92.77,1767500,36.784
2007-07-31,89.37,92.30,89.29,91.79,2383800,36.395
2007-07-30,90.94,91.19,88.65,89.16,2646200,35.352
2007-07-27,92.31,93.30,90.80,91.41,1910100,36.244
2007-07-26,95.03,95.77,92.54,93.32,3716900,37.002
2007-07-25,97.00,97.75,94.21,95.21,3417300,37.751
2007-07-24,98.18,98.70,97.21,97.54,937900,38.675
2007-07-23,98.11,98.80,97.16,98.11,760300,38.901
2007-07-20,98.46,99.25,98.17,98.26,973800,38.96
2007-07-19,97.75,98.85,97.50,98.64,855700,39.111
2007-07-18,98.25,98.98,97.25,97.64,1220300,38.715
2007-07-17,99.13,99.69,98.14,99.24,1027200,39.349
2007-07-16,100.01,100.40,99.01,99.72,624100,39.539
2007-07-13,99.80,100.20,98.89,100.00,1699800,39.65
2007-07-12,100.70,101.01,97.49,99.29,3497400,39.369
2007-07-11,101.93,101.94,100.50,100.90,1093300,40.007
2007-07-10,104.14,104.14,101.41,102.08,762400,40.475
2007-07-09,103.90,104.50,102.75,103.84,931400,41.173
2007-07-06,101.30,103.79,101.30,103.60,1003000,41.078
2007-07-05,103.66,103.81,101.37,101.44,1269100,40.221
2007-07-04,103.91,103.91,102.56,103.59,575800,41.074
2007-07-03,102.73,103.72,102.51,103.00,886200,40.84
2007-07-02,101.38,102.98,101.14,102.51,811800,40.645
2007-06-29,102.25,102.40,100.72,102.05,1461100,40.463
2007-06-28,101.79,102.61,100.48,101.94,1325000,40.419
2007-06-27,99.35,101.99,99.25,101.12,1107100,40.094
2007-06-26,101.49,102.00,99.96,100.44,1566400,39.825
2007-06-25,100.50,102.44,98.84,102.26,2337600,40.546
2007-06-22,104.00,104.00,100.57,101.20,3043800,40.126
2007-06-21,102.00,103.20,100.71,102.66,1488100,40.705
2007-06-20,102.40,103.60,102.40,102.75,1615200,40.741
2007-06-19,102.60,103.92,102.21,102.51,1569700,40.645
2007-06-18,107.30,107.33,102.73,103.00,5029100,40.84
2007-06-15,107.32,109.26,106.24,106.55,8208300,42.247
2007-06-14,104.59,106.55,103.86,106.55,2339700,42.247
2007-06-13,101.94,103.88,101.00,103.67,1671600,41.105
2007-06-12,102.92,103.47,101.35,101.65,977200,40.304
2007-06-11,102.99,103.89,102.01,102.72,1580000,40.729
2007-06-08,101.50,103.80,101.30,102.32,1365000,40.57
2007-06-07,103.54,104.17,102.00,102.95,1901700,40.82
2007-06-06,104.00,105.63,101.20,102.68,3107000,40.713
2007-06-05,100.50,106.37,100.26,104.28,5197800,41.347
