"Date";"Goog_trend_ALL"
2015-08-06;83
2015-08-07;83
2015-08-08;83
2015-08-09;76
2015-08-10;76
2015-08-11;76
2015-08-12;76
2015-08-13;76
2015-08-14;76
2015-08-15;76
2015-08-16;84
2015-08-17;84
2015-08-18;84
2015-08-19;84
2015-08-20;84
2015-08-21;84
2015-08-22;84
2015-08-23;70
2015-08-24;70
2015-08-25;70
2015-08-26;70
2015-08-27;70
2015-08-28;70
2015-08-29;70
2015-08-30;78
2015-08-31;78
2015-09-01;78
2015-09-02;78
2015-09-03;78
2015-09-04;78
2015-09-05;78
2015-09-06;71
2015-09-07;71
2015-09-08;71
2015-09-09;71
2015-09-10;71
2015-09-11;71
2015-09-12;71
2015-09-13;77
2015-09-14;77
2015-09-15;77
2015-09-16;77
2015-09-17;77
